11742	11812	1	trnL1	tRNA	6.19999993249e-19	global	1
3840	3910	-1	trnQ	tRNA	2.59999992473e-16	global	1
5160	5232	-1	trnN	tRNA	3.89999988709e-16	global	1
3910	3978	1	trnM	tRNA	6.89999984504e-15	global	1
5018	5087	1	trnW	tRNA	3.99999992981e-14	global	1
7747	7817	1	trnK	tRNA	4.60000012257e-14	global	1
14783	14852	1	trnT	tRNA	5.89999986258e-14	global	1
6916	6989	-1	trnS2	tRNA	6.09999992684e-14	global	1
5302	5372	-1	trnY	tRNA	7.49999969898e-14	global	1
14870	14939	-1	trnP	tRNA	2.60000002214e-13	global	1
2704	2777	1	trnL2	tRNA	1.89999990567e-12	global	1
0	68	1	trnF	tRNA	3.99999998402e-12	global	1
5089	5157	-1	trnA	tRNA	5.30000002219e-12	global	1
15474	15544	-1	trnE	tRNA	6.09999984552e-12	global	1
9444	9512	1	trnG	tRNA	1.10000003897e-11	global	1
9865	9937	1	trnR	tRNA	2.60000007635e-11	global	1
1045	1116	1	trnV	tRNA	2.69999994584e-11	global	1
6992	7060	1	trnD	tRNA	1.29999996878e-10	global	1
5236	5302	-1	trnC	tRNA	1.39999997706e-10	global	1
11607	11676	1	trnH	tRNA	3.40000005927e-09	global	1
3759	3830	1	trnI	tRNA	3.99999988687e-09	global	1
11677	11742	1	trnS1	tRNA	6.600000102e-09	global	1
11742	11812	1	trnL1	tRNA	6.19999993249e-19	global	1
3840	3910	-1	trnQ	tRNA	2.59999992473e-16	global	1
5160	5232	-1	trnN	tRNA	3.89999988709e-16	global	1
3910	3978	1	trnM	tRNA	6.89999984504e-15	global	1
5018	5087	1	trnW	tRNA	3.99999992981e-14	global	1
7747	7817	1	trnK	tRNA	4.60000012257e-14	global	1
14783	14852	1	trnT	tRNA	5.89999986258e-14	global	1
6916	6989	-1	trnS2	tRNA	6.09999992684e-14	global	1
5302	5372	-1	trnY	tRNA	7.49999969898e-14	global	1
14870	14939	-1	trnP	tRNA	2.60000002214e-13	global	1
2704	2777	1	trnL2	tRNA	1.89999990567e-12	global	1
0	68	1	trnF	tRNA	3.99999998402e-12	global	1
5089	5157	-1	trnA	tRNA	5.30000002219e-12	global	1
15474	15544	-1	trnE	tRNA	6.09999984552e-12	global	1
9444	9512	1	trnG	tRNA	1.10000003897e-11	global	1
9865	9937	1	trnR	tRNA	2.60000007635e-11	global	1
1045	1116	1	trnV	tRNA	2.69999994584e-11	global	1
6992	7060	1	trnD	tRNA	1.29999996878e-10	global	1
5236	5302	-1	trnC	tRNA	1.39999997706e-10	global	1
11607	11676	1	trnH	tRNA	3.40000005927e-09	global	1
3759	3830	1	trnI	tRNA	3.99999988687e-09	global	1
11677	11742	1	trnS1	tRNA	6.600000102e-09	global	1
17226	17295	1	trnT	tRNA	5.89999986258e-14	global	2
17313	17382	-1	trnP	tRNA	2.60000002214e-13	global	2
17917	17987	-1	trnE	tRNA	6.09999984552e-12	global	2
17226	17295	1	trnT	tRNA	5.89999986258e-14	global	2
17313	17382	-1	trnP	tRNA	2.60000002214e-13	global	2
17917	17987	-1	trnE	tRNA	6.09999984552e-12	global	2
1147	2704	1	rrnL	rRNA	0.0	global	1
68	1045	1	rrnS	rRNA	0.0	global	1
1147	2704	1	rrnL	rRNA	0.0	global	1
68	1045	1	rrnS	rRNA	0.0	global	1
