7857 atp8 2 0.000000 0.000000 0.000000
7858 atp8 2 27781.021167 0.000005 0.999995
7859 atp8 2 27781.021167 0.005983 0.994017
7860 atp8 2 27781.021167 0.011961 0.988039
7861 atp8 2 27781.021167 0.017938 0.982062
7862 atp8 2 27781.021167 0.023916 0.976084
7863 atp8 2 27781.021167 0.029894 0.970106
7864 atp8 2 27781.021167 0.035871 0.964129
7865 atp8 2 27781.021167 0.041849 0.958151
7866 atp8 2 27781.021167 0.047827 0.952173
7867 atp8 2 27781.021167 0.053804 0.946196
7868 atp8 2 27781.021167 0.059782 0.940218
7869 atp8 2 27781.021167 0.065759 0.934241
7870 atp8 2 27781.021167 0.071737 0.928263
7871 atp8 2 27781.021167 0.077715 0.922285
7872 atp8 2 27781.021167 0.083692 0.916308
7873 atp8 2 27781.021167 0.089670 0.910330
7874 atp8 2 27781.021167 0.095648 0.904352
7875 atp8 2 27781.021167 0.101625 0.898375
7876 atp8 2 27781.021167 0.107603 0.892397
7877 atp8 2 27781.021167 0.113581 0.886419
7878 atp8 2 27781.021167 0.119558 0.880442
7879 atp8 2 27786.353714 0.125515 0.874485
7880 atp8 2 27786.353714 0.131492 0.868508
7881 atp8 2 27786.353714 0.137470 0.862530
7882 atp8 2 27786.353714 0.143448 0.856552
7883 atp8 2 27786.353714 0.149426 0.850574
7884 atp8 2 27786.353714 0.155404 0.844596
7885 atp8 2 27786.353714 0.161381 0.838619
7886 atp8 2 27786.353714 0.167359 0.832641
7887 atp8 2 27786.353714 0.173337 0.826663
7888 atp8 2 27786.353714 0.179315 0.820685
7889 atp8 2 27786.353714 0.185292 0.814708
7890 atp8 2 27786.353714 0.191270 0.808730
7891 atp8 2 27786.353714 0.197248 0.802752
7892 atp8 2 27786.353714 0.203226 0.796774
7893 atp8 2 27786.353714 0.209204 0.790796
7894 atp8 2 27786.353714 0.215181 0.784819
7895 atp8 2 27786.353714 0.221159 0.778841
7896 atp8 2 27786.353714 0.227137 0.772863
7897 atp8 2 27786.353714 0.233115 0.766885
7898 atp8 2 27786.353714 0.239093 0.760907
7899 atp8 2 27786.353714 0.245070 0.754930
7900 atp8 2 27786.353714 0.251048 0.748952
7901 atp8 2 27786.353714 0.257026 0.742974
7902 atp8 2 27786.353714 0.263004 0.736996
7903 atp8 2 27786.353714 0.268981 0.731019
7904 atp8 2 27786.353714 0.274959 0.725041
7905 atp8 2 27786.353714 0.280937 0.719063
7906 atp8 2 27786.353714 0.286915 0.713085
7907 atp8 2 27786.353714 0.292893 0.707107
7908 atp8 2 27786.353714 0.298870 0.701130
7909 atp8 2 27786.353714 0.304848 0.695152
7910 atp8 2 27786.353714 0.310826 0.689174
7911 atp8 2 27786.353714 0.316804 0.683196
7912 atp8 2 27786.353714 0.322782 0.677218
7913 atp8 2 27786.353714 0.328759 0.671241
7914 atp8 2 27786.353714 0.334737 0.665263
